gene_name;gi;pident;evalue;description
THTET00000008772;gi|74582174|sp|O43086.1|ELG1_SCHPO;30.62;5.27E-27;"RecName: Full=Telomere length regulation protein elg1; AltName: Full=Telomere elongation suppressor elg1"
THTET00000008772;gi|74582174|sp|O43086.1|ELG1_SCHPO;39.216;5.8;"RecName: Full=Telomere length regulation protein elg1; AltName: Full=Telomere elongation suppressor elg1"
THTET00000008889;gi|13878530|sp|P58002.1|IF2_LACLA;27.451;3.2;RecName: Full=Translation initiation factor IF-2
THTET00000008853;gi|62297096|sp|P06809.2|COX4_NEUCR;76.22;2.26E-84;"RecName: Full=Cytochrome c oxidase subunit 4, mitochondrial; AltName: Full=Cytochrome c oxidase polypeptide IV; Flags: Precursor"
THTET00000008820;gi|731578|sp|P38892.1|CRG1_YEAST;29.87;5.05E-17;"RecName: Full=Probable S-adenosylmethionine-dependent methyltransferase CRG1; AltName: Full=Cantharidin resistance protein 1"
THTET00000008627;gi|45477299|sp|Q86SZ2.1|TPC6B_HUMAN;52.308;3.11E-47;RecName: Full=Trafficking protein particle complex subunit 6B
THTET00000008565;gi|74628441|sp|Q7RYV5.1|TCTP_NEUCR;80.588;1.86E-98;"RecName: Full=Translationally-controlled tumor protein homolog; Short=TCTP"
THTET00000008661;gi|74611236|sp|Q6LA53.1|AAR2_SCHPO;27.976;1.72E-05;RecName: Full=A1 cistron-splicing factor aar2
THTET00000008846;gi|74669201|sp|Q4WI46.1|CRF2_ASPFU;54.986;1.21E-133;"RecName: Full=Probable glycosidase crf2; AltName: Full=Crh-like protein 2; Flags: Precursor"
THTET00000008829;gi|81619917|sp|Q6N3Y0.1|ARSM_RHOPA;34.132;6.32E-22;"RecName: Full=Arsenite methyltransferase; AltName: Full=As(III) AdoMet methyltransferase"
THTET00000008827;gi|74627236|sp|Q07904.1|THI73_YEAST;36.145;1.64E-97;RecName: Full=Thiamine pathway transporter THI73
THTET00000008584;gi|1352912007|sp|C8VK14.1|HXNY_EMENI;29.97;6.17E-36;"RecName: Full=2-oxoglutarate-Fe(II) type oxidoreductase hxnY; AltName: Full=Nicotinate catabolism cluster protein hxnY"
THTET00000008715;gi|1239396278|sp|A0A089FNE5.1|PRLL_FUNXX;32.118;5.34E-74;"RecName: Full=MFS transporter prlL; AltName: Full=Pyrrolocin biosynthesis protein L"
THTET00000008616;gi|125099|sp|P04265.1|K2C2_XENLA;25.153;1.8;"RecName: Full=Keratin, type II cytoskeletal I; AltName: Full=Clone PUF164"
THTET00000008671;gi|121922884|sp|Q2HEW5.1|CHG2_CHAGB;26.667;1.71E-08;"RecName: Full=PKS-NRPS hybrid synthetase CHGG_01239; Short=PKS-NRPS; AltName: Full=Chaetoglobosin biosynthesis protein CHGG_01239; AltName: Full=Prochaetoglobin I synthase"
THTET00000008886;gi|74623770|sp|Q9C1K0.2|PEP2_NECHA;39.496;5.98E-48;RecName: Full=Pea pathogenicity protein 2 [[Nectria] haematococca]
THTET00000008542;gi|52788216|sp|O13366.2|ODPA_KLULA;62.5;0;"RecName: Full=Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial; Short=PDHE1-A; Flags: Precursor"
THTET00000008549;gi|74665568|sp|Q9UT87.1|IMG1_SCHPO;42.105;2.92E-10;RecName: Full=54S ribosomal protein subunit img1, mitochondrial
THTET00000008593;gi|549795|sp|P36017.1|VPS21_YEAST;65.789;1.67E-82;"RecName: Full=Vacuolar protein sorting-associated protein 21; AltName: Full=GTP-binding protein YPT51; AltName: Full=Vacuolar protein-targeting protein 12"
THTET00000008653;gi|121786794|sp|Q2H731.1|EIF3C_CHAGB;86.028;0;"RecName: Full=Eukaryotic translation initiation factor 3 subunit C; Short=eIF3c; AltName: Full=Eukaryotic translation initiation factor 3 93 kDa subunit homolog; Short=eIF3 p93; AltName: Full=Translation initiation factor eIF3, p93 subunit homolog"
THTET00000008775;gi|730470|sp|P32372.2|RAD4_SCHPO;28.352;2.48E-58;"RecName: Full=S-M checkpoint control protein rad4; AltName: Full=P74; AltName: Full=Protein cut5"
THTET00000008787;gi|74896802|sp|Q54DY9.1|BCS1B_DICDI;32.898;1.42E-44;"RecName: Full=Probable mitochondrial chaperone BCS1-B; AltName: Full=BCS1-like protein 2"
THTET00000008809;gi|1352911958|sp|B6HLP5.1|CHYH_PENRW;30.508;0.37;"RecName: Full=FAD-linked oxidoreductase chyH; AltName: Full=Chrysogine biosynthesis cluster protein H; Flags: Precursor"
THTET00000008633;gi|123903966|sp|Q4FZX0.1|LCHN_XENLA;32.71;2.42E-25;RecName: Full=Protein LCHN
THTET00000008896;gi|1042851594|sp|D7PI10.1|GSFR2_PENAE;29.457;2.93E-08;"RecName: Full=Transcription factor gsfR2; AltName: Full=Griseofulvin synthesis protein R2A"
THTET00000008881;gi|1064302968|sp|A1CFL1.1|PATD_ASPCL;58.939;3.48E-136;"RecName: Full=Alcohol dehydrogenase patD; AltName: Full=Patulin synthesis protein D"
THTET00000008610;gi|121927700|sp|Q2H6R9.1|XPOT_CHAGB;87.046;0;"RecName: Full=Exportin-T; AltName: Full=Exportin(tRNA); AltName: Full=Karyopherin-beta; AltName: Full=tRNA exportin"
THTET00000008739;gi|81553127|sp|Q9WZ31.1|CORA_THEMA;25.246;6.77E-20;RecName: Full=Cobalt/magnesium transport protein CorA
THTET00000008739;gi|81553127|sp|Q9WZ31.1|CORA_THEMA;28.302;8.88E-05;RecName: Full=Cobalt/magnesium transport protein CorA
THTET00000008768;gi|1352911985|sp|B4YQU1.1|FAH12_CLAPU;44.444;2.83E-25;"RecName: Full=Oleate hydroxylase FAH12; Short=CpFAH; Short=CpFAH12; AltName: Full=Oleate Delta(12)-hydroxylase"
THTET00000008768;gi|1352911985|sp|B4YQU1.1|FAH12_CLAPU;63.158;3.8;"RecName: Full=Oleate hydroxylase FAH12; Short=CpFAH; Short=CpFAH12; AltName: Full=Oleate Delta(12)-hydroxylase"
THTET00000008580;gi|2501603|sp|Q08647.1|PUS7_YEAST;32.219;1.84E-87;"RecName: Full=Multisubstrate pseudouridine synthase 7; AltName: Full=RNA pseudouridylate synthase 7; AltName: Full=RNA-uridine isomerase 7; AltName: Full=tRNA pseudouridine(13) synthase"
THTET00000008580;gi|2501603|sp|Q08647.1|PUS7_YEAST;52.778;0.46;"RecName: Full=Multisubstrate pseudouridine synthase 7; AltName: Full=RNA pseudouridylate synthase 7; AltName: Full=RNA-uridine isomerase 7; AltName: Full=tRNA pseudouridine(13) synthase"
THTET00000008693;gi|121746829|sp|Q0UDH1.1|CTU2_PHANO;33.953;7.96E-21;RecName: Full=Cytoplasmic tRNA 2-thiolation protein 2
THTET00000008693;gi|121746829|sp|Q0UDH1.1|CTU2_PHANO;39.837;4.80E-14;RecName: Full=Cytoplasmic tRNA 2-thiolation protein 2
THTET00000008740;gi|961512533|sp|D4ATS1.1|A7637_ARTBC;38.378;3.27E-20;"RecName: Full=Uncharacterized secreted protein ARB_07637; Flags: Precursor"
THTET00000008572;gi|74682361|sp|Q5K8R6.1|CXT1_CRYNJ;26.923;2.90E-37;"RecName: Full=Beta-1,2-xylosyltransferase 1; Short=Cxt1p"
THTET00000008572;gi|74682361|sp|Q5K8R6.1|CXT1_CRYNJ;45.238;4.89E-04;"RecName: Full=Beta-1,2-xylosyltransferase 1; Short=Cxt1p"
THTET00000008780;gi|298351856|sp|A2QH21.2|EGLC_ASPNC;51.429;5.03E-102;"RecName: Full=Probable glucan endo-1,3-beta-glucosidase eglC; AltName: Full=Endo-1,3-beta-glucanase eglC; AltName: Full=Laminarinase eglC; Flags: Precursor"
THTET00000008576;gi|259585923|sp|A5WW08.1|CHFR_DANRE;28.477;8.66E-11;"RecName: Full=E3 ubiquitin-protein ligase CHFR; AltName: Full=Checkpoint with forkhead and RING finger domains protein; AltName: Full=RING-type E3 ubiquitin transferase CHFR"
THTET00000008647;gi|74698231|sp|Q9HGM9.1|DNJC7_SCHPO;39.083;9.27E-93;RecName: Full=DnaJ homolog subfamily C member 7 homolog
THTET00000008836;gi|3915443|sp|O13826.1|RFP1_SCHPO;31.683;4.41E-06;"RecName: Full=E3 ubiquitin-protein ligase complex slx8-rfp subunit rfp1; AltName: Full=Meiotically up-regulated gene 140 protein; AltName: Full=RING finger protein 1; AltName: Full=RING-type E3 ubiquitin transferase rfp1"
THTET00000008774;gi|82187293|sp|Q6PGZ3.1|MIPT3_DANRE;44.444;6.79E-07;RecName: Full=TRAF3-interacting protein 1
THTET00000008774;gi|82187293|sp|Q6PGZ3.1|MIPT3_DANRE;39.062;0.037;RecName: Full=TRAF3-interacting protein 1
THTET00000008700;gi|1175374|sp|Q09702.1|NRD1_SCHPO;30.168;8.27E-20;"RecName: Full=Negative regulator of differentiation 1; AltName: Full=Multicopy suppressor of sporulation protein msa2"
THTET00000008700;gi|1175374|sp|Q09702.1|NRD1_SCHPO;26.238;8.01E-11;"RecName: Full=Negative regulator of differentiation 1; AltName: Full=Multicopy suppressor of sporulation protein msa2"
THTET00000008529;gi|12643338|sp|Q9Y2Q3.3|GSTK1_HUMAN;29.148;4.26E-15;"RecName: Full=Glutathione S-transferase kappa 1; AltName: Full=GST 13-13; AltName: Full=GST class-kappa; AltName: Full=GSTK1-1; Short=hGSTK1; AltName: Full=Glutathione S-transferase subunit 13"
THTET00000008705;gi|146345471|sp|Q92413.2|OAT_EMENI;71.36;0;"RecName: Full=Ornithine aminotransferase; AltName: Full=Ornithine--oxo-acid aminotransferase"
THTET00000008895;gi|334350888|sp|C6HEL8.1|LCL2_AJECH;41.667;2.7;"RecName: Full=Long chronological lifespan protein 2; Flags: Precursor"
THTET00000008877;gi|73919216|sp|Q52DM9.1|DCN1_MAGO7;26.433;1.86E-25;RecName: Full=Defective in cullin neddylation protein 1
THTET00000008860;gi|1351673|sp|Q09923.1|YAKC_SCHPO;51.156;1.43E-115;RecName: Full=Aldo-keto reductase yakc [NADP(
THTET00000008717;gi|74629766|sp|Q8J1Z1.1|TIM9_NEUCR;91.86;3.27E-53;RecName: Full=Mitochondrial import inner membrane translocase subunit tim9
THTET00000008731;gi|37090193|sp|Q12436.1|ZRT2_YEAST;38.228;7.31E-94;"RecName: Full=Zinc-regulated transporter 2; AltName: Full=Low-affinity zinc transport protein ZRT2"
THTET00000008540;gi|302595844|sp|B6Q4Z5.1|SCONB_PENMQ;25.418;1.74E-17;"RecName: Full=Probable E3 ubiquitin ligase complex SCF subunit sconB; AltName: Full=Sulfur controller B; AltName: Full=Sulfur metabolite repression control protein B"
THTET00000008540;gi|302595844|sp|B6Q4Z5.1|SCONB_PENMQ;38.889;4.8;"RecName: Full=Probable E3 ubiquitin ligase complex SCF subunit sconB; AltName: Full=Sulfur controller B; AltName: Full=Sulfur metabolite repression control protein B"
THTET00000008530;gi|74749521|sp|Q6YN16.1|HSDL2_HUMAN;32.601;3.76E-35;"RecName: Full=Hydroxysteroid dehydrogenase-like protein 2; AltName: Full=Short chain dehydrogenase/reductase family 13C member 1"
THTET00000008791;gi|11133760|sp|P57525.1|PGK_BUCAI;30.769;3.1;RecName: Full=Phosphoglycerate kinase
THTET00000008800;gi|108935984|sp|Q3T0J1.1|FBX4_BOVIN;33.871;0.34;RecName: Full=F-box only protein 4
THTET00000008544;gi|74638424|sp|Q9C1X2.1|YN53_SCHPO;58.282;0;"RecName: Full=Putative D-lactate dehydrogenase C713.03, mitochondrial; Flags: Precursor"
THTET00000008595;gi|206557937|sp|Q1MTM9.2|YFN1_SCHPO;31.055;2.27E-72;RecName: Full=Uncharacterized transcriptional regulatory protein C1327.01c
THTET00000008595;gi|206557937|sp|Q1MTM9.2|YFN1_SCHPO;47.423;1.13E-19;RecName: Full=Uncharacterized transcriptional regulatory protein C1327.01c
THTET00000008659;gi|62900747|sp|Q9ZS51.1|PMP22_ARATH;23.699;1.61E-10;"RecName: Full=Peroxisomal membrane protein PMP22; AltName: Full=22 kDa peroxisomal membrane protein"
THTET00000008539;gi|81873643|sp|Q8BFU1.1|S39A9_MOUSE;37.993;2.14E-46;"RecName: Full=Zinc transporter ZIP9; AltName: Full=Solute carrier family 39 member 9; AltName: Full=Zrt- and Irt-like protein 9; Short=ZIP-9"
THTET00000008629;gi|3219966|sp|O14069.1|RL28E_SCHPO;45.385;2.22E-31;RecName: Full=Probable 60S ribosomal protein L28e
THTET00000008816;gi|1176339|sp|P47125.1|I23O_YEAST;37.975;7.01E-93;"RecName: Full=Indoleamine 2,3-dioxygenase; Short=IDO; AltName: Full=Biosynthesis of nicotinic acid protein 2"
THTET00000008722;gi|81883713|sp|Q5XI79.1|NDUF7_RAT;33.405;3.07E-61;"RecName: Full=Protein arginine methyltransferase NDUFAF7, mitochondrial; AltName: Full=NADH dehydrogenase [ubiquinone] complex I, assembly factor 7; AltName: Full=Protein midA homolog; Flags: Precursor"
THTET00000008844;gi|1209747850|sp|P0DO01.1|DJA7A_ORYSJ;32.075;0.053;"RecName: Full=Chaperone protein dnaJ A7A, chloroplastic; AltName: Full=Chaperone protein dnaJ A7; Short=OsDjA7; Flags: Precursor"
THTET00000008560;gi|74625869|sp|Q9USS6.1|PPA4_SCHPO;34.362;1.11E-78;RecName: Full=Probable acid phosphatase SPBC4.06
THTET00000008620;gi|239938628|sp|P23449.2|FLIH_BACSU;29.032;1.7;RecName: Full=Probable flagellar assembly protein FliH
THTET00000008822;gi|342187036|sp|Q80Z71.2|TENN_MOUSE;37.143;0.045;"RecName: Full=Tenascin-N; Short=TN-N; AltName: Full=Tenascin-W; Short=TN-W; Flags: Precursor"
THTET00000008650;gi|123513814|sp|Q2KV08.1|ERPA_BORA1;30.07;2.19E-18;RecName: Full=Putative iron-sulfur cluster insertion protein ErpA
THTET00000008733;gi|3024608|sp|Q00455.1|SCYD_COLOR;76.786;3.21E-96;RecName: Full=Scytalone dehydratase
THTET00000008777;gi|939319635|sp|P0DN30.1|RTAI1_ARTBC;44.868;3.87E-85;"RecName: Full=Probable zinc-binding oxidoreductase, mitochondrial; Flags: Precursor"
THTET00000008664;gi|118575171|sp|Q2H720.1|DBP2_CHAGB;91.992;0;RecName: Full=ATP-dependent RNA helicase DBP2
THTET00000008640;gi|544254|sp|P10768.2|ESTD_HUMAN;51.536;1.28E-94;"RecName: Full=S-formylglutathione hydrolase; Short=FGH; AltName: Full=Esterase D; AltName: Full=Methylumbelliferyl-acetate deacetylase"
THTET00000008898;gi|597439567|sp|F8S0Z7.2|V5NTD_CROAD;30.986;1.03E-27;"RecName: Full=Snake venom 5'-nucleotidase; Short=5'-NT; AltName: Full=Ecto-5'-nucleotidase; Flags: Precursor"
THTET00000008604;gi|226693515|sp|P51792.2|CLCN3_RAT;33.376;9.70E-136;RecName: Full=H(
THTET00000008723;gi|193806364|sp|P32857.2|PTM1_YEAST;33.186;1.99E-87;"RecName: Full=Membrane protein PTM1; Flags: Precursor"
THTET00000008649;gi|74625438|sp|Q9P7V4.1|KTI12_SCHPO;35.262;9.87E-58;RecName: Full=Protein kti12
THTET00000008574;gi|82080744|sp|Q5ZHM5.1|RER1_CHICK;61.404;3.02E-73;RecName: Full=Protein RER1
THTET00000008703;gi|3121869|sp|O13923.1|CORO_SCHPO;48.093;0;RecName: Full=Coronin-like protein crn1
THTET00000008612;gi|730954|sp|P21725.2|TKTC_CUPNH;26.667;3;"RecName: Full=Transketolase, chromosomal; Short=TK"
THTET00000008738;gi|74681569|sp|Q5BHD6.1|RAD5_EMENI;49.206;1.38E-12;RecName: Full=DNA repair protein rad5
THTET00000008695;gi|82237223|sp|Q6NV31.1|WDR82_DANRE;35.588;7.00E-60;"RecName: Full=WD repeat-containing protein 82; AltName: Full=Protein word of mouth"
THTET00000008551;gi|74662491|sp|Q7RYW6.1|CYSK_NEUCR;87.5;0;"RecName: Full=Cysteine synthase 1; Short=CS 1; AltName: Full=O-acetylserine (thiol)-lyase 1; Short=OAS-TL 1; AltName: Full=O-acetylserine sulfhydrylase 1; AltName: Full=O-succinylserine sulfhydrylase; Flags: Precursor"
THTET00000008585;gi|334305698|sp|C5MED4.1|AIM9_CANTT;23.626;7.42E-07;"RecName: Full=Altered inheritance of mitochondria protein 9, mitochondrial; AltName: Full=Found in mitochondrial proteome protein 29; Flags: Precursor"
THTET00000008757;gi|182627640|sp|A7YVD7.1|NDUF6_BOVIN;32.353;1.11E-50;"RecName: Full=NADH dehydrogenase (ubiquinone) complex I, assembly factor 6; Flags: Precursor"
THTET00000008528;gi|74614097|sp|Q7RYI3.1|SWC5_NEUCR;61.963;2.70E-109;"RecName: Full=SWR1-complex protein 5; AltName: Full=Chromatin-remodeling complex protein 2"
THTET00000008902;gi|32171334|sp|Q8Z6I9.1|AROH_SALTI;35;1.2;"RecName: Full=Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive; AltName: Full=3-deoxy-D-arabino-heptulosonate 7-phosphate synthase; AltName: Full=DAHP synthase; AltName: Full=Phospho-2-keto-3-deoxyheptonate aldolase"
THTET00000008524;gi|166229777|sp|A5IML2.1|SYI_THEP1;52;3.1;"RecName: Full=Isoleucine--tRNA ligase; AltName: Full=Isoleucyl-tRNA synthetase; Short=IleRS"
THTET00000008665;gi|74582833|sp|O94266.1|THI22_SCHPO;38.58;1.39E-66;"RecName: Full=Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2; AltName: Full=Hydroxymethylpyrimidine kinase 2; Short=HMP kinase 2; AltName: Full=Hydroxymethylpyrimidine phosphate kinase 2; Short=HMP-P kinase 2; Short=HMP-phosphate kinase 2; Short=HMPP kinase 2"
THTET00000008665;gi|74582833|sp|O94266.1|THI22_SCHPO;42.157;3.11E-20;"RecName: Full=Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2; AltName: Full=Hydroxymethylpyrimidine kinase 2; Short=HMP kinase 2; AltName: Full=Hydroxymethylpyrimidine phosphate kinase 2; Short=HMP-P kinase 2; Short=HMP-phosphate kinase 2; Short=HMPP kinase 2"
THTET00000008588;gi|586423|sp|P38195.1|ECM13_YEAST;52.273;1.33E-04;"RecName: Full=Protein ECM13; AltName: Full=Extracellular mutant protein 13"
THTET00000008568;gi|50401331|sp|O74447.1|YCG2_SCHPO;22.26;8.91E-22;RecName: Full=Uncharacterized protein C16C4.02c
THTET00000008545;gi|730374|sp|P40303.1|PSA4_YEAST;69.456;1.51E-120;"RecName: Full=Proteasome subunit alpha type-4; AltName: Full=Macropain subunit PRE6; AltName: Full=Multicatalytic endopeptidase complex subunit PRE6; AltName: Full=Proteasome component PRE6; AltName: Full=Proteinase YSCE subunit PRE6"
THTET00000008811;gi|81345682|sp|P71043.1|YWNH_BACSU;40.351;2.97E-06;"RecName: Full=Putative phosphinothricin acetyltransferase YwnH; Short=PPT N-acetyltransferase"
THTET00000008675;gi|961512508|sp|I1RNL0.1|C9MT2_GIBZE;72.244;0;"RecName: Full=Sphingolipid C9-methyltransferase 2; Short=C-9-MT2"
THTET00000008622;gi|1723540|sp|Q10429.1|CND3_SCHPO;32.522;4.49E-139;"RecName: Full=Condensin complex subunit 3; AltName: Full=CAPG homolog; AltName: Full=p100"
THTET00000008875;gi|395398462|sp|Q9Y7M5.2|RM10_SCHPO;36.842;1.09E-37;"RecName: Full=54S ribosomal protein L10, mitochondrial; Flags: Precursor"
THTET00000008688;gi|140201|sp|P14680.1|YAK1_YEAST;55.947;0;RecName: Full=Dual specificity protein kinase YAK1
THTET00000008871;gi|74860417|sp|Q86AC8.1|MYOG_DICDI;25.962;5.3;RecName: Full=Myosin-G heavy chain
THTET00000008571;gi|54036399|sp|Q7RV75.1|RS22_NEUCR;96.154;2.86E-91;"RecName: Full=40S ribosomal protein S22; AltName: Full=Cytoplasmic ribosomal protein 27"
THTET00000008608;gi|121805180|sp|Q2UPZ7.1|DNPEP_ASPOR;63.022;0;"RecName: Full=Aspartyl aminopeptidase; Short=DAP"
THTET00000008582;gi|74654303|sp|Q7RYZ7.1|DBP8_NEUCR;79.688;0;RecName: Full=ATP-dependent RNA helicase dbp-8
THTET00000008678;gi|74662716|sp|Q7SBU6.1|EAF1_NEUCR;61.851;0;"RecName: Full=Chromatin modification-related protein eaf-1; AltName: Full=Esa-1-associated factor 1; AltName: Full=Vacuolar import and degradation protein 21"
THTET00000008678;gi|74662716|sp|Q7SBU6.1|EAF1_NEUCR;55.319;2.38E-19;"RecName: Full=Chromatin modification-related protein eaf-1; AltName: Full=Esa-1-associated factor 1; AltName: Full=Vacuolar import and degradation protein 21"
THTET00000008721;gi|74897071|sp|Q54QC0.1|MYBU_DICDI;29.286;3.4;RecName: Full=Myb-like protein U
THTET00000008721;gi|74897071|sp|Q54QC0.1|MYBU_DICDI;25.385;7.8;RecName: Full=Myb-like protein U
THTET00000008589;gi|130649|sp|P16901.1|POL_OMVVS;26.471;0.3;"RecName: Full=Pol polyprotein; Contains: RecName: Full=Protease; AltName: Full=Retropepsin; Contains: RecName: Full=Reverse transcriptase/ribonuclease H; Short=RT; AltName: Full=Exoribonuclease H; Contains: RecName: Full=Deoxyuridine 5'-triphosphate nucleotidohydrolase; Short=dUTPase; Contains: RecName: Full=Integrase; Short=IN"
THTET00000008537;gi|3024443|sp|Q12740.1|P5CR_ZALAR;68.889;2.14E-147;"RecName: Full=Pyrroline-5-carboxylate reductase; Short=P5C reductase; Short=P5CR"
THTET00000008698;gi|74644947|sp|Q06170.1|YL326_YEAST;28.906;4.18E-12;RecName: Full=Uncharacterized membrane protein YLR326W
THTET00000008712;gi|158517795|sp|P0C5E7.1|AGE1_CAEBR;25;3.1;"RecName: Full=Phosphatidylinositol 3-kinase age-1; Short=PI3-kinase age-1; Short=PI3K age-1; Short=PtdIns-3-kinase age-1; AltName: Full=Aging alteration protein 1"
THTET00000008643;gi|135020|sp|P00781.1|SUBD_BACLI;30.568;1.27E-20;RecName: Full=Subtilisin DY
THTET00000008823;gi|74672710|sp|Q4WT66.1|NRPS1_ASPFU;29.167;0.58;RecName: Full=Nonribosomal peptide synthetase 1
THTET00000008761;gi|357528836|sp|Q8GZ63.2|PP397_ARATH;27.632;0.9;RecName: Full=Pentatricopeptide repeat-containing protein At5g25630
THTET00000008833;gi|308191562|sp|C0H5F4.1|RBP2B_PLAF7;38.333;0.027;RecName: Full=Reticulocyte binding protein 2 homolog b
THTET00000008557;gi|231710|sp|Q01112.1|CDC42_SCHPO;85.227;1.67E-111;"RecName: Full=Cell division control protein 42 homolog; AltName: Full=CDC42Sp; Flags: Precursor"
THTET00000008783;gi|126302582|sp|P84675.2|PFM_CHAGB;72.973;4.58E-112;RecName: Full=Putative fungistatic metabolite
THTET00000008831;gi|939319555|sp|D4B1Y1.1|A2462_ARTBC;41.761;3.34E-106;"RecName: Full=Probable FAD-dependent monooxygenase; Flags: Precursor"
THTET00000008797;gi|117651|sp|P11373.1|CUTI1_COLGL;56.14;1.54E-77;"RecName: Full=Cutinase 1; AltName: Full=Cutin hydrolase 1; Flags: Precursor"
THTET00000008736;gi|380875442|sp|B5BP48.1|YP54_SCHPO;37.538;5.87E-63;RecName: Full=Putative alpha-ketoglutarate-dependent sulfonate dioxygenase
THTET00000008702;gi|74626797|sp|O60145.1|PPK23_SCHPO;50.76;4.92E-116;RecName: Full=Serine/threonine-protein kinase ppk23
THTET00000008630;gi|74620396|sp|Q8J0M6.1|YCB2_SACBA;50;3.88E-21;"RecName: Full=UPF0357 protein YCL012C; Flags: Precursor"
THTET00000008825;gi|1239396148|sp|I1RF57.1|AURR2_GIBZE;30.82;1.78E-59;"RecName: Full=Aurofusarin cluster transcription factor aurR2; AltName: Full=Aurofusarin biosynthesis cluster protein R2; AltName: Full=Gibberella pigment protein 5"
THTET00000008825;gi|1239396148|sp|I1RF57.1|AURR2_GIBZE;45.455;2.07E-05;"RecName: Full=Aurofusarin cluster transcription factor aurR2; AltName: Full=Aurofusarin biosynthesis cluster protein R2; AltName: Full=Gibberella pigment protein 5"
THTET00000008682;gi|116242995|sp|O60306.4|AQR_HUMAN;45.199;0;"RecName: Full=Intron-binding protein aquarius; AltName: Full=Intron-binding protein of 160 kDa; Short=IBP160"
THTET00000008803;gi|82185490|sp|Q6NU25.1|RHG35_XENLA;29.851;2.1;"RecName: Full=Rho GTPase-activating protein 35; AltName: Full=Rho GAP p190A; Short=p190-A"
THTET00000008805;gi|1352392|sp|P22862.4|ESTE_PSEFL;29.74;1.49E-22;"RecName: Full=Arylesterase; AltName: Full=Aryl-ester hydrolase; AltName: Full=PFE; AltName: Full=Putative bromoperoxidase"
THTET00000008535;gi|1723848|sp|P53163.1|MNP1_YEAST;49.682;7.73E-37;"RecName: Full=54S ribosomal protein L12, mitochondrial; AltName: Full=Mitochondrial large ribosomal subunit protein bL12m; AltName: Full=Mitochondrial-nucleoid protein 1; Flags: Precursor"
THTET00000008547;gi|46395601|sp|O13768.1|ERCC3_SCHPO;62.842;0;"RecName: Full=General transcription and DNA repair factor IIH helicase subunit XPB; Short=TFIIH subunit XPB; AltName: Full=DNA repair helicase ptr8; AltName: Full=Poly(A)"
THTET00000008625;gi|74623608|sp|Q96WW3.1|YNH5_SCHPO;51.351;8.22E-04;RecName: Full=UPF0642 protein C32H8.05
THTET00000008591;gi|20178107|sp|Q8WYJ6.2|SEPT1_HUMAN;30;1.63E-09;"RecName: Full=Septin-1; AltName: Full=LARP; AltName: Full=Peanut-like protein 3; AltName: Full=Serologically defined breast cancer antigen NY-BR-24"
THTET00000008598;gi|1042851547|sp|A0A097ZPD4.1|ANDH_EMEVA;34.091;1.12E-56;"RecName: Full=Oxidoreductase andH; AltName: Full=Anditomin synthesis protein H"
THTET00000008673;gi|6174938|sp|P87262.1|RL34A_YEAST;73.585;2.91E-52;"RecName: Full=60S ribosomal protein L34-A; AltName: Full=Large ribosomal subunit protein eL34-A"
THTET00000008741;gi|7387648|sp|O74841.1|FAD1_SCHPO;35.6;3.59E-55;"RecName: Full=Probable FAD synthase; AltName: Full=FAD pyrophosphorylase; AltName: Full=FMN adenylyltransferase; AltName: Full=Flavin adenine dinucleotide synthase"
THTET00000008526;gi|82186704|sp|Q6P9I7.1|SMC6_XENLA;31.818;0.97;"RecName: Full=Structural maintenance of chromosomes protein 6; Short=SMC protein 6; Short=SMC-6; Short=xSMC6"
THTET00000008619;gi|218547139|sp|A5GIT4.1|RL24_SYNPW;44.681;0.11;RecName: Full=50S ribosomal protein L24
THTET00000008795;gi|1352912004|sp|C8VJW0.1|HXNR_EMENI;22.749;0.009;RecName: Full=Nicotinate catabolism cluster-specific transcription factor
THTET00000008904;gi|74654744|sp|O74628.1|YQ53_SCHPO;29.831;2.33E-41;RecName: Full=Uncharacterized oxidoreductase C162.03
THTET00000008634;gi|464422|sp|P33333.1|PLSC_YEAST;42.041;2.43E-64;"RecName: Full=Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase; Short=1-AGP acyltransferase; Short=1-AGPAT; AltName: Full=Lysophosphatidic acid acyltransferase; Short=LPAAT"
THTET00000008605;gi|341940528|sp|Q80XC6.3|NRDE2_MOUSE;25.414;7.20E-26;RecName: Full=Protein NRDE2 homolog
THTET00000008683;gi|1723562|sp|Q10475.1|IF4G_SCHPO;47.241;1.92E-109;"RecName: Full=Eukaryotic translation initiation factor 4 gamma; Short=eIF-4-gamma; Short=eIF-4G"
THTET00000008873;gi|150416150|sp|A3RGB0.1|SGP1_GLOMM;40.541;0.96;"RecName: Full=Glycine/glutamate-rich protein sgp1; Flags: Precursor"
THTET00000008730;gi|81908799|sp|Q4VA53.1|PDS5B_MOUSE;28;2;"RecName: Full=Sister chromatid cohesion protein PDS5 homolog B; AltName: Full=Androgen-induced proliferation inhibitor; AltName: Full=Androgen-induced prostate proliferative shutoff-associated protein AS3"
